Asset Group,Class,Category,defect
مخيمات إسكان الحجاج بمنى - المطورة,مطبخ مطور, وحدة تحكم الموقد,فقد في باب وحدة التحكم
مخيمات إسكان الحجاج بمنى - المطورة,مطبخ مطور, وحدة تحكم الموقد,تلف في احد المكونات 
مخيمات إسكان الحجاج بمنى - المطورة,مطبخ مطور, مفاتيح,تالف
مخيمات إسكان الحجاج بمنى - المطورة,مطبخ مطور, مفاتيح,مفقود
مخيمات إسكان الحجاج بمنى - المطورة,مطبخ مطور, مفاتيح,التماس
مخيمات إسكان الحجاج بمنى - المطورة,مطبخ مطور, صمام,تسريب في المحبس
مخيمات إسكان الحجاج بمنى - المطورة,مطبخ مطور, صمام,تلف أحد المكونات
مخيمات إسكان الحجاج بمنى - المطورة,مطبخ مطور, صمام,فقدان أحد المكونات
مخيمات إسكان الحجاج بمنى - المطورة,مطبخ مطور, شبكة تصريف المياه,مفقود
مخيمات إسكان الحجاج بمنى - المطورة,مطبخ مطور, شبكة تصريف المياه,تالف
مخيمات إسكان الحجاج بمنى - المطورة,مطبخ مطور, شبكة تصريف المياه,طفح 
مخيمات إسكان الحجاج بمنى - المطورة,مطبخ مطور, خزان مياه,فارغ
مخيمات إسكان الحجاج بمنى - المطورة,مطبخ مطور, خزان مياه,تسريب 
مخيمات إسكان الحجاج بمنى - المطورة,مطبخ مطور, خزان مياه,طفح
مخيمات إسكان الحجاج بمنى - المطورة,مطبخ مطور, خزان مياه,تلف احد المكونات 
مخيمات إسكان الحجاج بمنى - المطورة,مطبخ مطور, خزان مياه,فقدان احد المكونات
مخيمات إسكان الحجاج بمنى - المطورة,مطبخ مطور, مضخات خزان المياه,تسريب 
مخيمات إسكان الحجاج بمنى - المطورة,مطبخ مطور, مضخات خزان المياه,تلف احد المكونات 
مخيمات إسكان الحجاج بمنى - المطورة,مطبخ مطور, مضخات خزان المياه,فقدان احد المكونات
مخيمات إسكان الحجاج بمنى - المطورة,مطبخ مطور, مضخات خزان المياه,تالف
مخيمات إسكان الحجاج بمنى - المطورة,مطبخ مطور, صنبور المياه,مفقود
مخيمات إسكان الحجاج بمنى - المطورة,مطبخ مطور, صنبور المياه,تسريب مياه
مخيمات إسكان الحجاج بمنى - المطورة,مطبخ مطور, صنبور المياه,تلف في صنبور المياه
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات,المواضيء,انقطاع المياه
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات,المواضيء,نظافة 
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات,المواضيء,طفح
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات,المواضيء,تسريب
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات,صنبور المياه,تلف
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات,صنبور المياه,فقد
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات,صنبور المياه,انقطاع المياه
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات,صنبور المياه,تسريب
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات,كرسي عربي,تلف
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات,كرسي عربي,مفقود
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات,كرسي عربي,انسداد
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات,كرسي عربي,نظافة 
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات,كرسي عربي,طفح
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات,لوحة التوزيع الفرعية,مفقود
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات,لوحة التوزيع الفرعية,لا يعمل
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات,لوحة التوزيع الفرعية,إنقطاع الكهرباء
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات,لوحة التوزيع الفرعية,فقدان احد المكونات 
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات,لوحة التوزيع الفرعية,تلف احد المكونات 
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات,لوحة التوزيع الفرعية,التماس كهربائي 
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات,لوحة التوزيع الفرعية,حريق 
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات,الأبواب,تلف
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات,الأبواب,فقدان احد المكونات
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات,كرسي إفرنجي,تلف في احد المكونات 
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات,كرسي إفرنجي,فقد في احد المكونات
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات,كرسي إفرنجي,تلف احد المكونات 
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات,كرسي إفرنجي,نظافة 
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات,كرسي إفرنجي,طفح
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات,كرسي إفرنجي,تسريب
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات,الساعة المعيارية,مفقود
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات,شبك تصريف المياه,مفقود
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات,شبك تصريف المياه,تالف 
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات, وحدة إضاءة,لا يعمل
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات, وحدة إضاءة,مفقود
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات, وحدة إضاءة,يعمل جزئي 
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات,شطاف,فقد
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات,شطاف,تلف في احد المكونات
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات,شطاف,تسريب
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات, وحدة الاستحمام,تلف في احد المكونات 
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات, وحدة الاستحمام,فقد في احد المكونات
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات, وحدة الاستحمام,انقطاع المياه
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات, وحدة الاستحمام,تسريب
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات,لوحات,لايوجد
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات,لوحات,تالف 
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات,لوحات,غير واضحة 
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات,لوحات,آيلة للسقوط
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات, سلة نفايات,نظافة 
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات, سلة نفايات,تلف
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات, صمام عمودي,تلف
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات, صمام عمودي,فقد
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات, صمام عمودي,تسريب
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات, خزان الصرف,طفح
مخيمات إسكان الحجاج بمنى - المطورة,مجمعات دورات المياه بالمخيمات, خزان الصرف,رائحة كريهة
مخيمات إسكان الحجاج بمنى - المطورة,غرفة المطوف,لوحة نظام كاشف الحريق,مفقود
مخيمات إسكان الحجاج بمنى - المطورة,غرفة المطوف,لوحة نظام كاشف الحريق,لا يعمل
مخيمات إسكان الحجاج بمنى - المطورة,غرفة المطوف,لوحة نظام كاشف الحريق,إنقطاع الكهرباء
مخيمات إسكان الحجاج بمنى - المطورة,غرفة المطوف,لوحة نظام كاشف الحريق,فقدان احد المكونات 
مخيمات إسكان الحجاج بمنى - المطورة,غرفة المطوف,لوحة نظام كاشف الحريق,تلف احد المكونات 
مخيمات إسكان الحجاج بمنى - المطورة,غرفة المطوف,لوحة نظام كاشف الحريق,التماس كهربائي 
مخيمات إسكان الحجاج بمنى - المطورة,غرفة المطوف,لوحة نظام كاشف الحريق,مفقود
مخيمات إسكان الحجاج بمنى - المطورة,غرفة المطوف,لوحة نظام كاشف الحريق,لا يعمل
مخيمات إسكان الحجاج بمنى - المطورة,غرفة المطوف,لوحة نظام كاشف الحريق,إنقطاع الكهرباء
مخيمات إسكان الحجاج بمنى - المطورة,غرفة المطوف,لوحة نظام كاشف الحريق,فقدان احد المكونات 
مخيمات إسكان الحجاج بمنى - المطورة,غرفة المطوف,لوحة نظام كاشف الحريق,تلف احد المكونات 
مخيمات إسكان الحجاج بمنى - المطورة,غرفة المطوف,لوحة نظام كاشف الحريق,التماس كهربائي 
مخيمات إسكان الحجاج بمنى - المطورة,غرفة المطوف,صافرة الإنذار,فقد
مخيمات إسكان الحجاج بمنى - المطورة,غرفة المطوف,صافرة الإنذار,تالف
مخيمات إسكان الحجاج بمنى - المطورة,غرفة المطوف,مفتاح تدفق المياه,مفقود
مخيمات إسكان الحجاج بمنى - المطورة,غرفة المطوف,مفتاح تدفق المياه,تالف
مخيمات إسكان الحجاج بمنى - المطورة,غرفة المطوف,الساعة المعيارية,مفقود
مخيمات إسكان الحجاج بمنى - المطورة,غرفة المطوف,الساعة المعيارية,تالف
مخيمات إسكان الحجاج بمنى - المطورة,غرفة المطوف, اللوحة الرئيسية للتوزيع,مفقود
مخيمات إسكان الحجاج بمنى - المطورة,غرفة المطوف, اللوحة الرئيسية للتوزيع,لا يعمل
مخيمات إسكان الحجاج بمنى - المطورة,غرفة المطوف, اللوحة الرئيسية للتوزيع,إنقطاع الكهرباء
مخيمات إسكان الحجاج بمنى - المطورة,غرفة المطوف, اللوحة الرئيسية للتوزيع,فقدان احد المكونات 
مخيمات إسكان الحجاج بمنى - المطورة,غرفة المطوف, اللوحة الرئيسية للتوزيع,تلف احد المكونات 
مخيمات إسكان الحجاج بمنى - المطورة,غرفة المطوف, اللوحة الرئيسية للتوزيع,التماس كهربائي 
مخيمات إسكان الحجاج بمنى - المطورة,غرفة المطوف, مستشعر الضغط,تالف
مخيمات إسكان الحجاج بمنى - المطورة,غرفة المطوف, مستشعر الضغط,مفقود
مخيمات إسكان الحجاج بمنى - المطورة,غرفة المطوف, مستشعر الضغط,تالف
مخيمات إسكان الحجاج بمنى - المطورة,غرفة المطوف, مستشعر الضغط,مفقود
مخيمات إسكان الحجاج بمنى - المطورة,غرفة المطوف,مستشعر عدم العبث,تالف
مخيمات إسكان الحجاج بمنى - المطورة,غرفة المطوف,مستشعر عدم العبث,مفقود
مخيمات إسكان الحجاج بمنى - المطورة,غرفة المطوف,مستشعر عدم العبث,مفقود
مخيمات إسكان الحجاج بمنى - المطورة,غرفة المطوف,مستشعر عدم العبث,تالف
مخيمات إسكان الحجاج بمنى - المطورة,غرفة المطوف, صمام,تسريب في المحبس
مخيمات إسكان الحجاج بمنى - المطورة,غرفة المطوف, صمام,تلف أحد المكونات
مخيمات إسكان الحجاج بمنى - المطورة,غرفة المطوف, صمام,فقدان أحد المكونات
مخيمات إسكان الحجاج بمنى - المطورة,غرفة المحابس,الساعة المعيارية,تالف
مخيمات إسكان الحجاج بمنى - المطورة,غرفة المحابس, صمام تخفيف الضغط,مفقود
مخيمات إسكان الحجاج بمنى - المطورة,غرفة المحابس, صمام تخفيف الضغط,تالف
مخيمات إسكان الحجاج بمنى - المطورة,غرفة المحابس, صمام تخفيف الضغط,تسريب
مخيمات إسكان الحجاج بمنى - المطورة,غرفة المحابس, صمام,تسريب في المحبس
مخيمات إسكان الحجاج بمنى - المطورة,غرفة المحابس, صمام,تلف أحد المكونات
مخيمات إسكان الحجاج بمنى - المطورة,غرفة المحابس, صمام,فقدان أحد المكونات
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,الكاميرات,تالف
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,الكاميرات,مفقود
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,لوحة التوزيع الفرعية (الكبيرة),مفقود
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,لوحة التوزيع الفرعية (الكبيرة),لا يعمل
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,لوحة التوزيع الفرعية (الكبيرة),إنقطاع الكهرباء
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,لوحة التوزيع الفرعية (الكبيرة),فقدان احد المكونات 
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,لوحة التوزيع الفرعية (الكبيرة),تلف احد المكونات 
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,لوحة التوزيع الفرعية (الكبيرة),التماس كهربائي 
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,لوحة التوزيع الفرعية (الصغيرة),لا يعمل
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,لوحة التوزيع الفرعية (الصغيرة),إنقطاع الكهرباء
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,لوحة التوزيع الفرعية (الصغيرة),فقدان احد المكونات 
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,لوحة التوزيع الفرعية (الصغيرة),تلف احد المكونات 
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,لوحة التوزيع الفرعية (الصغيرة),التماس كهربائي 
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,لوحة التوزيع الفرعية (الصغيرة),مفقود
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,التأريض,فقدان الغطاء
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,مخرج الطوارئ,البوابة مفقودة
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,مخرج الطوارئ,تلف في احد المكونات 
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,السلالم الكهربائية,لاتعمل
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,السلالم الكهربائية,التماس كهربائي 
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,السلالم الكهربائية,تلف في أجزاء السلم الكهربائي
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,السلالم الكهربائية,وجود عوائق
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,صندوق خرطوم الحريق,فقد أحد مكونات صندوق الحريق
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,صندوق خرطوم الحريق,تلف أحد مكونات صندوق الحريق
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,صندوق خرطوم الحريق,لا يوجد صندوق الحريق
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,صندوق خرطوم الحريق,انقطاع مياه 
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,صندوق خرطوم الحريق,تسرب مياه 
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,إضاءة إنذار الحريق,تالف
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,إضاءة إنذار الحريق,فقد
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,صافرة الإنذار,خلل بالصفارة (تعمل بلا سبب)
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,صافرة الإنذار,فقد
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,مفتاح إطلاق إنذار الحريق,تالف
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,مفتاح إطلاق إنذار الحريق,فقد
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,كشافات,مفقود
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,كشافات,التماس
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,كشافات,تالف
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,المقابس الصناعية,مفقود
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,المقابس الصناعية,تالف
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,المقابس الصناعية,التماس كهربائي 
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار, وحدة إضاءة,تالف
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار, وحدة إضاءة,مفقود
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار, البوابة الرئيسية,البوابة مفقودة
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار, البوابة الرئيسية,تلف في احد المكونات 
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,غرفة تفتيش,كسر في الغطاء  
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,غرفة تفتيش,هبوط/ ارتفاع منسوب المنهول  
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,غرفة تفتيش,فقدان الغطاء
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,غرفة تفتيش,كسر في الغطاء  
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,غرفة تفتيش,هبوط/ ارتفاع منسوب المنهول  
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,غرفة تفتيش,فقدان الغطاء
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,غرفة تفتيش,طفح المجاري
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,غرفة تفتيش,كسر في الغطاء  
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,غرفة تفتيش,هبوط/ ارتفاع منسوب المنهول  
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,غرفة تفتيش,فقدان الغطاء
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,غرفة تفتيش,طفح 
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,غرفة تفتيش,يوجد رائحة كريهة
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار, ظلال,مفقود
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار, ظلال,تالف 
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,لوحة,غير موجودة 
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,لوحة,تالفة 
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,لوحة,غير واضحة 
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار,لوحة,آلية للسقوط
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار, مكبر الصوت,تالف
مخيمات إسكان الحجاج بمنى - المطورة,الممرات والأسوار, مكبر الصوت,مفقود
مخيمات إسكان الحجاج بمنى - المطورة,الخيام,الأبواب,مفقود
مخيمات إسكان الحجاج بمنى - المطورة,الخيام,الأبواب,تلف
مخيمات إسكان الحجاج بمنى - المطورة,الخيام,الأبواب,فقدان احد المكونات
مخيمات إسكان الحجاج بمنى - المطورة,الخيام,رشاشات مكافحة الحريق,مفقود
مخيمات إسكان الحجاج بمنى - المطورة,الخيام,رشاشات مكافحة الحريق,مكسور
مخيمات إسكان الحجاج بمنى - المطورة,الخيام,رشاشات مكافحة الحريق,تسريب مياه
مخيمات إسكان الحجاج بمنى - المطورة,الخيام,وحدة التكييف الداخلية,تبريد ضعيف
مخيمات إسكان الحجاج بمنى - المطورة,الخيام,وحدة التكييف الداخلية,انقطاع التيار 
مخيمات إسكان الحجاج بمنى - المطورة,الخيام,وحدة التكييف الداخلية,تسريب 
مخيمات إسكان الحجاج بمنى - المطورة,الخيام,وحدة التكييف الداخلية,تعطل وحدة التحكم
مخيمات إسكان الحجاج بمنى - المطورة,الخيام,وحدة التكييف الداخلية,تلف احد المكونات 
مخيمات إسكان الحجاج بمنى - المطورة,الخيام, وحدة إضاءة,تالف
مخيمات إسكان الحجاج بمنى - المطورة,الخيام, وحدة إضاءة,مفقود
مخيمات إسكان الحجاج بمنى - المطورة,الخيام,إضاءة ليلية,تالف
مخيمات إسكان الحجاج بمنى - المطورة,الخيام,إضاءة ليلية,مفقود
مخيمات إسكان الحجاج بمنى - المطورة,الخيام, وحدة خارجية,فقدان احد المكونات
مخيمات إسكان الحجاج بمنى - المطورة,الخيام, وحدة خارجية,انقطاع التيار
مخيمات إسكان الحجاج بمنى - المطورة,الخيام, وحدة خارجية,تسريب فريون
مخيمات إسكان الحجاج بمنى - المطورة,الخيام, وحدة خارجية,تلف احد المكونات 
مخيمات إسكان الحجاج بمنى - المطورة,الخيام, وحدة خارجية,التماس
مخيمات إسكان الحجاج بمنى - المطورة,الخيام, وحدة خارجية,غير مثبتة
مخيمات إسكان الحجاج بمنى - المطورة,الخيام, جهاز كاشف الدخان,تالف
مخيمات إسكان الحجاج بمنى - المطورة,الخيام, جهاز كاشف الدخان,مفقود
مخيمات إسكان الحجاج بمنى - المطورة,الخيام,صندوق المفاتيح والأفياش,مفقود
مخيمات إسكان الحجاج بمنى - المطورة,الخيام,صندوق المفاتيح والأفياش,تالف
مخيمات إسكان الحجاج بمنى - المطورة,الخيام,صندوق المفاتيح والأفياش,انقطاع التيار
مخيمات إسكان الحجاج بمنى - المطورة,الخيام,صندوق المفاتيح والأفياش,التماس كهربائي 
مخيمات إسكان الحجاج بمنى - المطورة,الخيام, مفاتيح,مفقود
مخيمات إسكان الحجاج بمنى - المطورة,الخيام, مفاتيح,تالف
مخيمات إسكان الحجاج بمنى - المطورة,الخيام, مفاتيح,التماس كهربائي 
مخيمات إسكان الحجاج بمنى - المطورة,الخيام, مفاتيح,انقطاع التيار
مخيمات إسكان الحجاج بمنى - المطورة,الخيام, بلاط,لا يوجد جزئي
مخيمات إسكان الحجاج بمنى - المطورة,الخيام, بلاط,كسر في البلاط 
مخيمات إسكان الحجاج بمنى - المطورة,الخيام, بلاط,هبوط / ارتفاع منسوب البلاط 
أعمدة الرذاذ,-,الرشاشات,تسريب
أعمدة الرذاذ,-,الرشاشات,تلف احد الأجزاء 
أعمدة الرذاذ,-,الرشاشات,فقد احد الأجزاء
أعمدة الرذاذ,-,الرشاشات,مياة ضعيفة
أعمدة الرذاذ,-,العمود,آيل للسقوط
أعمدة الرذاذ,-,العمود,فقد احد الأجزاء
أعمدة الرذاذ,-,العمود,تلف احد الأجزاء 
أعمدة الرذاذ,-,المحبس,تهريب في المحبس
أعمدة الرذاذ,-,المحبس,المحبس مغلق
أعمدة الرذاذ,-,المحبس,تلف في المحبس
أعمدة الرذاذ,-,المحبس,المحبس مفقود
أعمدة الرذاذ,-,تمديدات التغذية,تسريب
أعمدة الرذاذ,-,تمديدات التغذية,مكسور
مجمعات دورات المياه خارج الخيام,Type1 Toilet Complex (الدورات المنقولة),المواضيء,انقطاع المياه
مجمعات دورات المياه خارج الخيام,Type1 Toilet Complex (الدورات المنقولة),المواضيء,نظافة 
مجمعات دورات المياه خارج الخيام,Type1 Toilet Complex (الدورات المنقولة),المواضيء,طفح
مجمعات دورات المياه خارج الخيام,Type1 Toilet Complex (الدورات المنقولة),المواضيء,تسريب
مجمعات دورات المياه خارج الخيام,Type1 Toilet Complex (الدورات المنقولة),صنابير المياه,تلف
مجمعات دورات المياه خارج الخيام,Type1 Toilet Complex (الدورات المنقولة),صنابير المياه,فقد
مجمعات دورات المياه خارج الخيام,Type1 Toilet Complex (الدورات المنقولة),صنابير المياه,انقطاع المياه
مجمعات دورات المياه خارج الخيام,Type1 Toilet Complex (الدورات المنقولة),صنابير المياه,تسريب
مجمعات دورات المياه خارج الخيام,Type1 Toilet Complex (الدورات المنقولة), مرحاض عربي,تلف
مجمعات دورات المياه خارج الخيام,Type1 Toilet Complex (الدورات المنقولة), مرحاض عربي,مفقود
مجمعات دورات المياه خارج الخيام,Type1 Toilet Complex (الدورات المنقولة), مرحاض عربي,انسداد
مجمعات دورات المياه خارج الخيام,Type1 Toilet Complex (الدورات المنقولة), مرحاض عربي,نظافة 
مجمعات دورات المياه خارج الخيام,Type1 Toilet Complex (الدورات المنقولة), مرحاض عربي,طفح
مجمعات دورات المياه خارج الخيام,Type1 Toilet Complex (الدورات المنقولة), حامل الملابس,تالف
مجمعات دورات المياه خارج الخيام,Type1 Toilet Complex (الدورات المنقولة), حامل الملابس,مفقود
مجمعات دورات المياه خارج الخيام,Type1 Toilet Complex (الدورات المنقولة), لوحة التوزيع الفرعية,مفقود
مجمعات دورات المياه خارج الخيام,Type1 Toilet Complex (الدورات المنقولة), لوحة التوزيع الفرعية,لا يعمل
مجمعات دورات المياه خارج الخيام,Type1 Toilet Complex (الدورات المنقولة), لوحة التوزيع الفرعية,إنقطاع الكهرباء
مجمعات دورات المياه خارج الخيام,Type1 Toilet Complex (الدورات المنقولة), لوحة التوزيع الفرعية,فقدان احد المكونات 
مجمعات دورات المياه خارج الخيام,Type1 Toilet Complex (الدورات المنقولة), لوحة التوزيع الفرعية,تلف احد المكونات 
مجمعات دورات المياه خارج الخيام,Type1 Toilet Complex (الدورات المنقولة), لوحة التوزيع الفرعية,التماس كهربائي 
مجمعات دورات المياه خارج الخيام,Type1 Toilet Complex (الدورات المنقولة), لوحة التوزيع الفرعية,حريق 
مجمعات دورات المياه خارج الخيام,Type1 Toilet Complex (الدورات المنقولة), باب,مفقود
مجمعات دورات المياه خارج الخيام,Type1 Toilet Complex (الدورات المنقولة), باب,مكسور
مجمعات دورات المياه خارج الخيام,Type1 Toilet Complex (الدورات المنقولة), مرحاض فرنسي,تلف في احد المكونات 
مجمعات دورات المياه خارج الخيام,Type1 Toilet Complex (الدورات المنقولة), مرحاض فرنسي,فقد في احد المكونات
مجمعات دورات المياه خارج الخيام,Type1 Toilet Complex (الدورات المنقولة), مرحاض فرنسي,تلف احد المكونات 
مجمعات دورات المياه خارج الخيام,Type1 Toilet Complex (الدورات المنقولة), مرحاض فرنسي,نظافة 
مجمعات دورات المياه خارج الخيام,Type1 Toilet Complex (الدورات المنقولة), مرحاض فرنسي,طفح
مجمعات دورات المياه خارج الخيام,Type1 Toilet Complex (الدورات المنقولة), مرحاض فرنسي,تسريب
مجمعات دورات المياه خارج الخيام,Type1 Toilet Complex (الدورات المنقولة),شبك تصريف المياه,مفقود
مجمعات دورات المياه خارج الخيام,Type1 Toilet Complex (الدورات المنقولة),شبك تصريف المياه,تالف 
مجمعات دورات المياه خارج الخيام,Type1 Toilet Complex (الدورات المنقولة),وحدة إضاءة,لا يعمل
مجمعات دورات المياه خارج الخيام,Type1 Toilet Complex (الدورات المنقولة),وحدة إضاءة,مفقود
مجمعات دورات المياه خارج الخيام,Type1 Toilet Complex (الدورات المنقولة),وحدة إضاءة,يعمل جزئي 
مجمعات دورات المياه خارج الخيام,Type1 Toilet Complex (الدورات المنقولة),شطاف,فقد
